,date,link,speaker,tag,time duration,title,view
18,2008-03-12,https://www.ted.com/talks/jill_bolte_taylor_my_stroke_of_insight,Jill Bolte Taylor,"['biology', 'brain', 'consciousness', 'global issues', 'illness', 'science']",18:19,My stroke of insight,27230935
19,2009-08-24,https://www.ted.com/talks/dan_pink_the_puzzle_of_motivation,Dan Pink,"['brain', 'business', 'creativity', 'motivation', 'science', 'social change', 'work']",18:36,The puzzle of motivation,26624711
20,2012-08-15,https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test,Jon Ronson,"['culture', 'mind', 'prison', 'storytelling']",18:01,Strange answers to the psychopath test,26524200
21,2013-09-04,https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend,Kelly McGonigal,"['body language', 'health', 'psychology', 'mindfulness']",14:28,How to make stress your friend,25422776
22,2018-03-28,https://www.ted.com/talks/mel_robbins_how_to_stop_screwing_yourself_over,Mel Robbins,"['personal growth', 'life', 'goal-setting', 'happiness', 'mind', 'self', 'psychology', 'success', 'motivation']",21:40,How to stop screwing yourself over,25371453
23,2009-10-07,https://www.ted.com/talks/chimamanda_ngozi_adichie_the_danger_of_a_single_story,Chimamanda Ngozi Adichie,"['Africa', 'culture', 'identity', 'storytelling', 'writing', 'books']",18:49,The danger of a single story,25327760
24,2020-10-23,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe,James Veitch,"['communication', 'comedy', 'technology', 'humor', 'business']", 7:40,The agony of trying to unsubscribe,24147629
25,2012-02-01,https://www.ted.com/talks/shawn_achor_the_happy_secret_to_better_work,Shawn Achor,"['TEDx', 'business', 'happiness', 'psychology', 'science', 'brain', 'mind', 'cognitive science', 'sociology', 'depression', 'mental health', 'health', 'motivation', 'innovation', 'work', 'productivity', 'social change']",12:20,The happy secret to better work,23087997
26,2016-02-16,https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation,Celeste Headlee,"['communication', 'interview', 'personal growth', 'TEDx', 'language']",11:44,10 ways to have a better conversation,22765993
27,2013-05-09,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,Angela Lee Duckworth,"['business', 'education', 'psychology', 'success']", 6:12,Grit: The power of passion and perseverance,22188778
28,2012-03-12,https://www.ted.com/talks/chris_anderson_ted_questions_no_one_knows_the_answers_to,Chris Anderson (TED),"['TED-Ed', 'education', 'mind', 'science', 'philosophy', 'space', 'Planets', 'consciousness', 'math', 'physics', 'extraterrestrial life', 'curiosity', 'cosmos', 'universe', 'String theory', 'dark matter', 'nanoscale']",12:07,Questions no one knows the answers to,22027547
29,2019-02-15,https://www.ted.com/talks/alex_gendler_can_you_solve_the_prisoner_hat_riddle,Alex Gendler,"['collaboration', 'creativity', 'memory', 'philosophy', 'TED-Ed', 'animation']", 4:19,Can you solve the prisoner hat riddle?,19929483
30,2009-02-09,https://www.ted.com/talks/elizabeth_gilbert_your_elusive_creative_genius,Elizabeth Gilbert,"['creativity', 'culture', 'entertainment', 'poetry', 'work', 'writing', 'personality']",19:09,Your elusive creative genius,19904221
31,2019-02-15,https://www.ted.com/talks/michael_mauser_what_are_those_floaty_things_in_your_eye,Michael Mauser,"['health', 'TED-Ed', 'human body', 'animation', 'science', 'biology']", 3:50,What are those floaty things in your eye?,19593298
32,2017-04-30,https://www.ted.com/talks/elon_musk_the_future_we_re_building_and_boring,Elon Musk,"['aircraft', 'cities', 'energy', 'design', 'business', 'engineering', 'entrepreneur', 'environment', 'exploration', 'global development', 'future', 'humanity', 'industrial design', 'infrastructure', 'intelligence', 'innovation', 'invention', 'manufacturing', 'Mars', 'product design', 'science', 'social change', 'society', 'solar energy', 'technology', 'universe']",40:50,The future we're building — and boring,19557001
33,2019-05-22,https://www.ted.com/talks/jeff_dekofsky_the_infinite_hotel_paradox,Jeff Dekofsky,"['animation', 'TED-Ed', 'math']", 5:46,The Infinite Hotel Paradox,19529240
34,2006-09-26,https://www.ted.com/talks/dan_gilbert_the_surprising_science_of_happiness,Dan Gilbert,"['brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",21:16,The surprising science of happiness,19281275
35,2009-11-16,https://www.ted.com/talks/pranav_mistry_the_thrilling_potential_of_sixthsense_technology,Pranav Mistry,"['demo', 'design', 'open-source', 'technology']",13:50,The thrilling potential of SixthSense technology,19012625
36,2015-03-20,https://www.ted.com/talks/monica_lewinsky_the_price_of_shame,Monica Lewinsky,"['communication', 'media', 'social media', 'suicide', 'technology']",22:26,The price of shame,18728592
37,2008-07-18,https://www.ted.com/talks/keith_barry_brain_magic,Keith Barry,"['brain', 'entertainment', 'illusion', 'magic']",19:49,Brain magic,18443504
38,2013-03-20,https://www.ted.com/talks/hyeonseo_lee_my_escape_from_north_korea,Hyeonseo Lee,"['Asia', 'culture', 'family', 'global issues']",12:15,My escape from North Korea,18240401
39,2012-12-12,https://www.ted.com/talks/maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar,Maz Jobrani,"['Middle East', 'TEDx', 'comedy', 'culture', 'entertainment', 'humor', 'performance']", 7:11,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",17529591
40,2013-02-14,https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship,Esther Perel,"['culture', 'love', 'relationships', 'sex']",19:10,The secret to desire in a long-term relationship,17380648
41,2019-02-15,https://www.ted.com/talks/alex_gendler_can_you_solve_the_bridge_riddle,Alex Gendler,"['creativity', 'design', 'animation', 'TED-Ed', 'math']", 3:34,Can you solve the bridge riddle?,17337542
42,2016-04-01,https://www.ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers,Adam Grant,"['business', 'creativity', 'curiosity', 'exploration', 'decision-making', 'failure', 'innovation', 'invention', 'leadership', 'personal growth', 'motivation', 'potential', 'success', 'work']",15:25,The surprising habits of original thinkers,17185433
43,2015-10-30,https://www.ted.com/talks/daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed,Daniel Levitin,"['brain', 'health', 'mental health', 'neuroscience', 'memory', 'cognitive science', 'medicine']",12:20,How to stay calm when you know you'll be stressed,16860268
44,2015-07-09,https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong,Johann Hari,"['culture', 'policy', 'society', 'addiction', 'narcotics']",14:42,Everything you think you know about addiction is wrong,16774463
45,2015-05-21,https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved,Esther Perel,"['culture', 'love', 'relationships', 'sex']",21:31,Rethinking infidelity ... a talk for anyone who has ever loved,16271764
46,2016-02-03,https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit,Judson Brewer,"['TEDMED', 'brain', 'choice', 'cognitive science', 'curiosity', 'health', 'decision-making', 'mental health', 'meditation', 'mindfulness', 'motivation', 'neuroscience', 'nature', 'mind', 'obesity', 'personal growth', 'science', 'addiction']", 9:24,A simple way to break a bad habit,16234051
47,2008-01-11,https://www.ted.com/talks/david_gallo_underwater_astonishments,David Gallo,"['animals', 'evolution', 'exploration', 'fish', 'oceans', 'science', 'technology', 'marine biology']", 5:27,Underwater astonishments,16129186
48,2006-09-26,https://www.ted.com/talks/barry_schwartz_the_paradox_of_choice,Barry Schwartz,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",19:37,The paradox of choice,15172955
49,2006-12-14,https://www.ted.com/talks/richard_st_john_8_secrets_of_success,Richard St. John,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']", 3:30,8 secrets of success,15119172
50,2014-03-28,https://www.ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance,Hugh Herr,"['dance', 'prosthetics', 'technology', 'bionics']",19:00,"The new bionics that let us run, climb and dance",15092882
51,2012-03-16,https://www.ted.com/talks/brene_brown_listening_to_shame,Brené Brown,"['brain', 'culture', 'psychology', 'self']",20:38,Listening to shame,15017287
52,2011-03-18,https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter,Sarah Kay,"['entertainment', 'performance', 'poetry', 'storytelling', 'performance art', 'spoken word']",18:25,If I should have a daughter ...,14971117
53,2006-06-27,https://www.ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen,Hans Rosling,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global issues', 'health', 'statistics', 'global development', 'visualizations', 'math']",19:50,The best stats you've ever seen,14856702
54,2018-03-28,https://www.ted.com/talks/mariana_atencio_what_makes_you_special,Mariana Atencio,"['journalism', 'immigration', 'personal growth', 'life', 'identity']",17:47,What makes you special?,14740035
55,2019-12-18,https://www.ted.com/talks/noah_zandan_the_language_of_lying,Noah Zandan,"['consciousness', 'history', 'sociology', 'psychology', 'education', 'language', 'TED-Ed', 'animation', 'communication']", 5:26,The language of lying,14718007
56,2013-04-19,https://www.ted.com/talks/black_my_journey_to_yo_yo_mastery,BLACK,"['dance', 'entertainment', 'performance', 'toy']",10:28,My journey to yo-yo mastery,14636168
57,2008-06-25,https://www.ted.com/talks/benjamin_zander_the_transformative_power_of_classical_music,Benjamin Zander,"['conducting', 'creativity', 'culture', 'entertainment', 'live music', 'music', 'performance']",20:43,The transformative power of classical music,14478921
58,2014-05-19,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,Simon Sinek,"['business', 'leadership', 'military', 'work']",11:59,Why good leaders make you feel safe,14153397
59,2016-06-23,https://www.ted.com/talks/brian_little_who_are_you_really_the_puzzle_of_personality,Brian Little,"['communication', 'humanity', 'personality', 'identity', 'humor', 'self', 'psychology', 'introvert', 'TED Books']",15:15,"Who are you, really? The puzzle of personality",13508025
60,,https://www.ted.com/talks/stephen_hawking_questioning_the_universe,Stephen Hawking,[],10:12,Questioning the universe,
61,2011-07-01,https://www.ted.com/talks/matt_cutts_try_something_new_for_30_days,Matt Cutts,"['culture', 'success']", 3:27,Try something new for 30 days,13119601
62,2013-06-11,https://www.ted.com/talks/raffaello_d_andrea_the_astounding_athletic_power_of_quadcopters,Raffaello D'Andrea,"['drones', 'robots', 'technology']",16:08,The astounding athletic power of quadcopters,13101359
63,2019-05-10,https://www.ted.com/talks/matt_walker_sleep_is_your_superpower,Matt Walker,"['sleep', 'medicine', 'health', 'medical research', 'biology', 'neuroscience', 'brain', 'mind', 'human body', 'science', 'memory']",19:18,Sleep is your superpower,12520013
64,2013-03-01,https://www.ted.com/talks/amanda_palmer_the_art_of_asking,Amanda Palmer,"['business', 'entertainment', 'music', 'performance art']",13:47,The art of asking,12462331
65,2015-04-28,https://www.ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain,Greg Gage,"['TED Fellows', 'brain', 'demo', 'neuroscience', 'science', 'biotech', 'physiology', 'technology', 'biology']", 5:52,How to control someone else's arm with your brain,12357745
66,,https://www.ted.com/talks/jeffrey_siegel_what_makes_muscles_grow,Jeffrey Siegel,[], 4:04,What makes muscles grow?,
67,2012-05-25,https://www.ted.com/talks/reggie_watts_beats_that_defy_boxes,Reggie Watts,"['entertainment', 'humor', 'live music', 'music', 'performance', 'poetry', 'comedy']", 9:43,Beats that defy boxes,12222908
68,2019-02-15,https://www.ted.com/talks/rose_eveleth_the_loathsome_lethal_mosquito,Rose Eveleth,"['animation', 'TED-Ed', 'animals', 'disease', 'biology', 'climate change', 'science', 'evolution', 'insects']", 2:25,The loathsome lethal mosquito,12213988
69,2013-05-03,https://www.ted.com/talks/rita_pierson_every_kid_needs_a_champion,Rita Pierson,"['children', 'education', 'motivation', 'teaching']", 7:48,Every kid needs a champion,12180406
70,2013-01-11,https://www.ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes,Andy Puddicombe,"['Buddhism', 'body language', 'culture', 'happiness', 'health', 'meditation', 'mindfulness', 'productivity', 'success', 'work']", 9:24,All it takes is 10 mindful minutes,12176929
71,2011-04-11,https://www.ted.com/talks/david_christian_the_history_of_our_world_in_18_minutes,David Christian,"['Internet', 'big bang', 'cosmos', 'history', 'humanity', 'universe', 'visualizations']",17:40,The history of our world in 18 minutes,12067180
72,2014-12-17,https://www.ted.com/talks/carol_dweck_the_power_of_believing_that_you_can_improve,Carol Dweck,"['TEDx', 'brain', 'business', 'education', 'intelligence', 'personal growth', 'psychology']",10:20,The power of believing that you can improve,12024616
73,2015-09-10,https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life,BJ Miller,"['death', 'global issues', 'health', 'health care', 'life', 'medicine']",19:07,What really matters at the end of life,11962670
74,2011-11-16,https://www.ted.com/talks/thomas_suarez_a_12_year_old_app_developer,Thomas Suarez,"['TEDx', 'education', 'entertainment', 'technology', 'youth', 'code']", 4:40,A 12-year-old app developer,11944205
75,2019-02-22,https://www.ted.com/talks/alex_gendler_can_you_solve_the_famously_difficult_green_eyed_logic_puzzle,Alex Gendler,"['philosophy', 'psychology', 'sociology', 'TED-Ed', 'animation']", 4:27,Can you solve the famously difficult green-eyed logic puzzle?,11911593
76,2018-04-11,https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think,Lera Boroditsky,"['language', 'brain', 'science', 'cognitive science', 'humanity', 'communication', 'sound']",14:12,How language shapes the way we think,11775725
77,2013-05-13,https://www.ted.com/talks/meg_jay_why_30_is_not_the_new_20,Meg Jay,"['aging', 'culture', 'goal-setting', 'youth']",14:49,Why 30 is not the new 20,11688805
78,2006-09-06,https://www.ted.com/talks/helen_fisher_why_we_love_why_we_cheat,Helen Fisher,"['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']",23:27,"Why we love, why we cheat",11666558
79,2018-02-05,https://www.ted.com/talks/guy_winch_how_to_fix_a_broken_heart,Guy Winch,"['addiction', 'compassion', 'humanity', 'depression', 'identity', 'love', 'personal growth', 'social change']",12:25,How to fix a broken heart,11639689
80,2018-07-03,https://www.ted.com/talks/lizzie_velasquez_how_do_you_define_yourself,Lizzie Velásquez,"['personal growth', 'self', 'identity', 'humor', 'funny', 'life', 'motivation', 'goal-setting']",13:11,How do you define yourself?,11563604
81,2009-03-10,https://www.ted.com/talks/pattie_maes_pranav_mistry_meet_the_sixthsense_interaction,Pattie Maes + Pranav Mistry,"['demo', 'design', 'interface design', 'technology']", 8:42,Meet the SixthSense interaction,11392813
82,2014-01-03,https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one,Maysoon Zayid,"['comedy', 'entertainment', 'women', 'humor']",14:13,I got 99 problems ... palsy is just one,11341459
83,2013-12-18,https://www.ted.com/talks/andrew_solomon_depression_the_secret_we_share,Andrew Solomon,"['TEDx', 'culture', 'depression', 'medicine', 'mental health', 'suicide']",29:21,"Depression, the secret we share",11335945
84,2019-02-15,https://www.ted.com/talks/netta_schramm_why_don_t_perpetual_motion_machines_ever_work,Netta Schramm,"['design', 'engineering', 'history', 'technology', 'invention', 'energy', 'TED-Ed', 'animation']", 5:10,Why don't perpetual motion machines ever work?,11332803
85,2015-02-16,https://www.ted.com/talks/guy_winch_why_we_all_need_to_practice_emotional_first_aid,Guy Winch,"['TEDx', 'health', 'mental health', 'psychology', 'self', 'mindfulness']",17:24,Why we all need to practice emotional first aid,11286206
86,2016-05-27,https://www.ted.com/talks/adam_driver_my_journey_from_marine_to_actor,Adam Driver,"['collaboration', 'communication', 'entertainment', 'film', 'language', 'performance art', 'military', 'performance', 'theater', 'war']",18:02,My journey from Marine to actor,11284334
87,2016-12-16,https://www.ted.com/talks/laura_vanderkam_how_to_gain_control_of_your_free_time,Laura Vanderkam,"['choice', 'goal-setting', 'happiness', 'personal growth', 'work', 'work-life balance', 'time']",11:54,How to gain control of your free time,11077440
88,2017-02-02,https://www.ted.com/talks/sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,Sue Klebold,"['activism', 'big problems', 'brain', 'death', 'humanity', 'guns', 'mental health', 'mind', 'pain', 'parenting', 'personality', 'society', 'social change', 'United States', 'TEDMED', 'violence']",15:18,My son was a Columbine shooter. This is my story,11015373
89,2019-01-04,https://www.ted.com/talks/lydia_machova_the_secrets_of_learning_a_new_language,Lýdia Machová,"['language', 'education', 'communication', 'culture', 'personal growth', 'speech']",10:45,The secrets of learning a new language,10890858
90,2016-05-13,https://www.ted.com/talks/kang_lee_can_you_really_tell_if_a_kid_is_lying,Kang Lee,"['body language', 'communication', 'decision-making', 'intelligence', 'teaching', 'motivation', 'parenting', 'children', 'psychology', 'emotions']",13:36,Can you really tell if a kid is lying?,10852600
91,2017-07-18,https://www.ted.com/talks/anil_seth_your_brain_hallucinates_your_conscious_reality,Anil Seth,"['brain', 'cognitive science', 'humanity', 'mind', 'neuroscience', 'science']",17:01,Your brain hallucinates your conscious reality,10736183
92,2019-03-01,https://www.ted.com/talks/dan_van_der_vieren_can_you_solve_einstein_s_riddle,Dan Van der Vieren,"['creativity', 'math', 'TED-Ed', 'animals', 'brain', 'animation', 'education']", 4:57,"Can you solve ""Einstein's Riddle""?",10679610
93,2013-05-10,https://www.ted.com/talks/sir_ken_robinson_how_to_escape_education_s_death_valley,Sir Ken Robinson,"['culture', 'education', 'teaching', 'student']",19:11,How to escape education's death valley,10622332
94,2010-12-21,https://www.ted.com/talks/sheryl_sandberg_why_we_have_too_few_women_leaders,Sheryl Sandberg,"['business', 'feminism', 'goal-setting', 'leadership', 'technology', 'women', 'women in business', 'gender equality']",14:58,Why we have too few women leaders,10562567
95,2014-03-19,https://www.ted.com/talks/chris_hadfield_what_i_learned_from_going_blind_in_space,Chris Hadfield,"['adventure', 'culture', 'fear', 'life', 'live music', 'space']",18:22,What I learned from going blind in space,10491530
96,2017-05-11,https://www.ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love,Shah Rukh Khan,"['aging', 'art', 'dance', 'communication', 'entertainment', 'family', 'happiness', 'future', 'movies', 'india', 'humanity', 'music', 'personal growth', 'technology', 'success', 'love']",17:51,"Thoughts on humanity, fame and love",10426393
97,2018-02-28,https://www.ted.com/talks/wendy_suzuki_the_brain_changing_benefits_of_exercise,Wendy Suzuki,"['biology', 'health', 'brain', 'memory', 'human body', 'neuroscience', 'mental health', 'science', 'exercise']",13:02,The brain-changing benefits of exercise,10403125
98,2017-09-07,https://www.ted.com/talks/claudia_aguirre_what_would_happen_if_you_didn_t_sleep,Claudia Aguirre,"['TED-Ed', 'sleep', 'brain', 'biology', 'science', 'human body', 'youth', 'physiology', 'health', 'health care', 'public health', 'healthcare', 'education', 'memory']", 4:19,What would happen if you didn't sleep?,10387622
99,2017-09-12,https://www.ted.com/talks/emily_esfahani_smith_there_s_more_to_life_than_being_happy,Emily Esfahani Smith,"['happiness', 'personal growth', 'humanity', 'relationships', 'psychology', 'storytelling']",12:18,There's more to life than being happy,10382372
100,2019-01-11,https://www.ted.com/talks/ray_laurence_a_glimpse_of_teenage_life_in_ancient_rome,Ray Laurence,"['history', 'ancient world', 'TED-Ed', 'animation']", 6:15,A glimpse of teenage life in ancient Rome,10344999
101,2017-09-07,https://www.ted.com/talks/nicole_avena_how_sugar_affects_the_brain,Nicole Avena,"['TED-Ed', 'health', 'brain', 'food', 'health care', 'healthcare', 'animation', 'public health', 'addiction']", 4:48,How sugar affects the brain,10061373
102,2017-03-06,https://www.ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,Megan Phelps-Roper,"['activism', 'communication', 'community', 'collaboration', 'compassion', 'empathy', 'family', 'humanity', 'faith', 'identity', 'peace', 'social change', 'motivation', 'social media', 'society', 'writing', 'religion', 'TEDNYC']",15:17,I grew up in the Westboro Baptist Church. Here's why I left,9955572
103,2019-01-07,https://www.ted.com/talks/scott_a_mellor_how_thor_got_his_hammer,Scott A. Mellor,"['animation', 'history', 'TED-Ed']", 4:39,How Thor got his hammer,9953308
104,2010-02-11,https://www.ted.com/talks/jamie_oliver_teach_every_child_about_food,Jamie Oliver,"['business', 'education', 'food', 'global issues', 'health', 'obesity']",21:53,Teach every child about food,9858955
105,2019-02-12,https://www.ted.com/talks/alex_gendler_can_you_solve_the_three_gods_riddle,Alex Gendler,"['TED-Ed', 'animation', 'math']", 4:40,Can you solve the three gods riddle?,9852211
106,2018-10-08,https://www.ted.com/talks/alex_honnold_how_i_climbed_a_3_000_foot_vertical_cliff_without_ropes,Alex Honnold,"['nature', 'adventure', 'exploration', 'storytelling', 'personal growth', 'extreme sports']",11:49,"How I climbed a 3,000-foot vertical cliff — without ropes",9838205
107,2017-09-07,https://www.ted.com/talks/anita_collins_how_playing_an_instrument_benefits_your_brain,Anita Collins,"['TED-Ed', 'music', 'brain', 'creativity', 'play', 'entertainment', 'education', 'animation', 'psychology']", 4:29,How playing an instrument benefits your brain,9804303
108,2007-12-13,https://www.ted.com/talks/arthur_benjamin_a_performance_of_mathemagic,Arthur Benjamin,"['education', 'entertainment', 'magic', 'math', 'performance']",15:14,"A performance of ""Mathemagic""",9799551
109,,https://www.ted.com/talks/matthieu_ricard_the_habits_of_happiness,Matthieu Ricard,[],20:54,The habits of happiness,
110,2019-02-15,https://www.ted.com/talks/mia_nacamulli_what_would_happen_if_you_didn_t_drink_water,Mia Nacamulli,"['health', 'public health', 'water', 'TED-Ed', 'animation', 'biology', 'physiology', 'human body', 'science']", 4:37,What would happen if you didn't drink water?,9705087
111,,https://www.ted.com/talks/steve_jobs_how_to_live_before_you_die,Steve Jobs,[],15:05,How to live before you die,
112,2010-05-24,https://www.ted.com/talks/sir_ken_robinson_bring_on_the_learning_revolution,Sir Ken Robinson,"['children', 'creativity', 'education', 'invention']",16:48,Bring on the learning revolution!,9666287
113,2017-06-12,https://www.ted.com/talks/tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,Tim Ferriss,"['choice', 'goal-setting', 'fear', 'life', 'humanity', 'personal growth', 'success', 'work-life balance', 'work']",13:21,Why you should define your fears instead of your goals,9592647
114,,https://www.ted.com/talks/mia_nacamulli_the_benefits_of_a_bilingual_brain,Mia Nacamulli,[], 4:48,The benefits of a bilingual brain,
115,2019-03-01,https://www.ted.com/talks/lisa_winer_can_you_solve_the_locker_riddle,Lisa Winer,"['memory', 'math', 'TED-Ed', 'money', 'animation', 'family']", 3:42,Can you solve the locker riddle?,9479033
116,2017-09-07,https://www.ted.com/talks/tony_buffington_why_do_cats_act_so_weird,Tony Buffington,"['TED-Ed', 'animals', 'science', 'biology', 'nature', 'evolution', 'animation']", 4:42,Why do cats act so weird?,9274581
117,2015-10-08,https://www.ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how,Sandrine Thuret,"['aging', 'brain', 'health', 'medical research', 'memory', 'mental health', 'mind', 'neuroscience', 'science', 'biology']",11:04,You can grow new brain cells. Here's how,9274405
118,2016-02-19,https://www.ted.com/talks/raffaello_d_andrea_meet_the_dazzling_flying_machines_of_the_future,Raffaello D'Andrea,"['beauty', 'creativity', 'demo', 'drones', 'design', 'future', 'invention', 'technology', 'flight']",11:35,Meet the dazzling flying machines of the future,9272942
119,,https://www.ted.com/talks/derek_sivers_how_to_start_a_movement,Derek Sivers,[], 3:09,How to start a movement,
120,2009-03-05,https://www.ted.com/talks/mike_rowe_learning_from_dirty_jobs,Mike Rowe,"['economics', 'entertainment', 'work', 'Best of the Web']",20:02,Learning from dirty jobs,9084035
121,2011-07-29,https://www.ted.com/talks/julian_treasure_5_ways_to_listen_better,Julian Treasure,"['culture', 'sound', 'social change']", 7:50,5 ways to listen better,9075211
122,2019-03-22,https://www.ted.com/talks/mia_nacamulli_how_the_food_you_eat_affects_your_brain,Mia Nacamulli,"['health', 'brain', 'food', 'human body', 'public health', 'animation', 'TED-Ed', 'biology', 'science']", 4:37,How the food you eat affects your brain,9045090
